Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
390052,CLEARFIELD,PA,"$21,639","$24,777","$28,280",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
050174,SONOMA,CA,"$20,794","$22,194","$23,753",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
061307,RIO BLANCO,CO,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
230141,GENESEE,MI,"$17,816","$18,619","$19,488",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
450803,HARRIS,TX,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
050228,SAN FRANCISCO,CA,"$13,221","$14,573","$16,092",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
441310,RHEA,TN,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
050378,LOS ANGELES,CA,"$13,558","$15,864","$18,407",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
371307,CIMARRON,OK,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
180044,PIKE,KY,"$14,689","$15,657","$16,675",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
280013,DOUGLAS,NE,"$16,495","$17,614","$18,875",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
161312,CLAYTON,IA,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
490143,JAMES CITY,VA,"$13,928","$15,614","$17,448",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
503300,KING,WA,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
230095,OGEMAW,MI,"$13,371","$14,728","$16,186",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
171319,JACKSON,KS,,,,2013-04-01T00:00:00.000,2016-03-31T00:00:00.000
230021,BERRIEN,MI,"$20,059","$21,439","$22,915",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
361334,PIKE,OH,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
260094,TANEY,MO,"$17,007","$17,989","$18,958",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
381319,UMATILLA,OR,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
010092,TUSCALOOSA,AL,"$16,078","$16,608","$17,150",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
111306,EFFINGHAM,GA,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
451335,COOKE,TX,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
190106,ALLEN,LA,"$13,737","$15,227","$16,817",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
140113,CHAMPAIGN,IL,"$20,106","$21,774","$23,637",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
243300,RAMSEY,MN,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
230058,CRAWFORD,MI,"$15,779","$16,982","$18,233",2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
150182,HAMILTON,IN,,,,2013-07-01T00:00:00.000,2016-06-30T00:00:00.000
