Provider_id,County,State,Lower_Payment_Est,Ave_Payment,Higher_Payment_Est,Start_Date,End_Date
060011,denver,co,19539,22400,25709,2013-07-01,2016-06-30
330270,new york,ny,22719,22946,23187,2013-04-01,2016-03-31
510023,hancock,wv,18173,19684,21291,2013-07-01,2016-06-30
050324,san diego,ca,20470,21086,21753,2013-04-01,2016-03-31
370235,tulsa,ok,13448,15179,17187,2013-07-01,2016-06-30
170182,johnson,ks,17529,18867,20292,2013-07-01,2016-06-30
050551,orange,ca,22657,23828,25032,2013-04-01,2016-03-31
510022,kanawha,wv,17430,18151,18903,2013-04-01,2016-03-31
050295,kern,ca,20208,22943,26250,2013-07-01,2016-06-30
390004,cumberland,pa,17928,19008,20161,2013-07-01,2016-06-30
400087,arecibo,pr,13880,16530,19096,2013-07-01,2016-06-30
030093,maricopa,az,20676,21985,23479,2013-07-01,2016-06-30
451372,bailey,tx,15566,18015,21196,2013-07-01,2016-06-30
390046,york,pa,15710,16334,16968,2013-07-01,2016-06-30
450064,tarrant,tx,17964,19327,20821,2013-07-01,2016-06-30
330079,franklin,ny,14904,16688,18437,2013-07-01,2016-06-30
220050,hampshire,ma,14790,16501,18532,2013-07-01,2016-06-30
281322,cuming,ne,13914,15979,18342,2013-07-01,2016-06-30
140133,cook,il,20988,23462,26041,2013-07-01,2016-06-30
390211,mercer,pa,21012,22132,23301,2013-04-01,2016-03-31
390146,warren,pa,19476,20730,22099,2013-04-01,2016-03-31
440183,shelby,tn,21703,22271,22858,2013-04-01,2016-03-31
030119,maricopa,az,20101,20891,21714,2013-04-01,2016-03-31
460019,duchesne,ut,11563,13376,15491,2013-07-01,2016-06-30
110071,appling,ga,13302,14960,16754,2013-07-01,2016-06-30
050222,san diego,ca,21514,23961,26494,2013-07-01,2016-06-30
140064,knox,il,20770,23527,26630,2013-07-01,2016-06-30
170104,johnson,ks,22929,23578,24272,2013-04-01,2016-03-31
281301,fillmore,ne,15228,17785,20233,2013-07-01,2016-06-30
440132,henry,tn,23695,24705,25757,2013-04-01,2016-03-31
290019,carson city,nv,13907,14832,15833,2013-07-01,2016-06-30
140029,kane,il,16017,16906,17839,2013-07-01,2016-06-30
040088,union,ar,15906,17253,18545,2013-07-01,2016-06-30
190312,washington,la,15712,17928,20448,2013-07-01,2016-06-30
420049,horry,sc,21016,23768,26714,2013-07-01,2016-06-30
390321,lehigh,pa,19867,20573,21324,2013-04-01,2016-03-31
390101,york,pa,21700,24176,26732,2013-07-01,2016-06-30
250162,hancock,ms,14064,15974,18196,2013-07-01,2016-06-30
100242,bay,fl,18608,19575,20535,2013-07-01,2016-06-30
390178,mercer,pa,14926,16213,17653,2013-07-01,2016-06-30
140208,cook,il,17541,18283,19053,2013-07-01,2016-06-30
330396,kings,ny,17778,20274,23247,2013-07-01,2016-06-30
230108,houghton,mi,12060,13965,16201,2013-07-01,2016-06-30
390192,wyoming,pa,13689,15336,16967,2013-07-01,2016-06-30
231319,houghton,mi,19917,22889,26444,2013-07-01,2016-06-30
140034,marion,il,17466,19488,21722,2013-04-01,2016-03-31
201300,hancock,me,14595,17172,20102,2013-07-01,2016-06-30
340099,hertford,nc,20295,23464,26885,2013-07-01,2016-06-30
050625,los angeles,ca,27604,29443,31315,2013-07-01,2016-06-30
470001,washington,vt,19508,21646,23885,2013-07-01,2016-06-30
241359,lyon,mn,13360,15605,18389,2013-07-01,2016-06-30
370106,oklahoma,ok,15800,16594,17376,2013-07-01,2016-06-30
230092,jackson,mi,19281,20526,21836,2013-07-01,2016-06-30
100035,manatee,fl,20534,21360,22249,2013-04-01,2016-03-31
240014,dakota,mn,12620,14569,16893,2013-07-01,2016-06-30
340133,martin,nc,13387,14859,16542,2013-07-01,2016-06-30
010033,jefferson,al,23400,24341,25322,2013-04-01,2016-03-31
310003,hudson,nj,22110,24146,26550,2013-07-01,2016-06-30
040050,ouachita,ar,22371,24268,26370,2013-04-01,2016-03-31
060001,weld,co,22152,23057,24034,2013-04-01,2016-03-31
390048,mifflin,pa,21172,23791,26642,2013-07-01,2016-06-30
501335,king,wa,18302,19639,21042,2013-04-01,2016-03-31
250017,chickasaw,ms,13443,15663,18286,2013-07-01,2016-06-30
161359,monona,ia,15953,17652,19310,2013-07-01,2016-06-30
450586,baylor,tx,12207,13776,15334,2013-07-01,2016-06-30
400125,fajardo,pr,14666,17003,19315,2013-07-01,2016-06-30
070008,tolland,ct,20248,23244,26804,2013-07-01,2016-06-30
320013,taos,nm,12513,14354,16377,2013-07-01,2016-06-30
250097,pike,ms,18893,20746,22720,2013-07-01,2016-06-30
150007,howard,in,16306,17775,19471,2013-07-01,2016-06-30
390076,chester,pa,16678,18074,19385,2013-07-01,2016-06-30
210048,howard,md,21990,23023,24061,2013-04-01,2016-03-31
110083,fulton,ga,16518,17515,18505,2013-07-01,2016-06-30
420083,spartanburg,sc,14339,15691,17246,2013-07-01,2016-06-30
320005,san juan,nm,15036,16195,17428,2013-07-01,2016-06-30
380009,multnomah,or,19355,21224,23290,2013-07-01,2016-06-30
450656,nacogdoches,tx,13665,15455,17244,2013-07-01,2016-06-30
450358,harris,tx,20174,20559,20953,2013-04-01,2016-03-31
410009,kent,ri,16323,17085,17906,2013-07-01,2016-06-30
330009,bronx,ny,20020,22925,26030,2013-07-01,2016-06-30
521345,saint croix,wi,13425,15737,18232,2013-07-01,2016-06-30
240002,saint louis,mn,19400,19977,20546,2013-04-01,2016-03-31
390127,chester,pa,17392,18601,19700,2013-07-01,2016-06-30
440227,rutherford,tn,16080,17638,19119,2013-07-01,2016-06-30
050424,san diego,ca,21183,23555,26524,2013-07-01,2016-06-30
450289,harris,tx,18157,20495,23162,2013-07-01,2016-06-30
340183,mecklenburg,nc,14790,16106,17431,2013-07-01,2016-06-30
410013,washington,ri,21521,23090,24835,2013-04-01,2016-03-31
381324,jefferson,or,14925,17406,20080,2013-07-01,2016-06-30
140172,cook,il,20603,22079,23606,2013-07-01,2016-06-30
340184,haywood,nc,14606,15571,16535,2013-07-01,2016-06-30
050002,alameda,ca,23667,26700,29840,2013-07-01,2016-06-30
190041,caddo,la,24042,25133,26282,2013-04-01,2016-03-31
050773,alameda,ca,13198,14588,16183,2013-07-01,2016-06-30
201306,oxford,me,14703,16228,17863,2013-07-01,2016-06-30
280023,hall,ne,20001,21980,24282,2013-07-01,2016-06-30
140113,champaign,il,19477,20417,21436,2013-04-01,2016-03-31
040014,white,ar,14978,15935,16881,2013-07-01,2016-06-30
140122,dupage,il,22508,23137,23798,2013-04-01,2016-03-31
020017,anchorage,ak,20947,23295,25879,2013-07-01,2016-06-30
030055,mohave,az,22917,25006,27202,2013-07-01,2016-06-30
670023,tarrant,tx,22870,25164,27493,2013-07-01,2016-06-30
360203,guernsey,oh,21484,23449,25548,2013-04-01,2016-03-31
130014,canyon,id,18644,21009,23771,2013-07-01,2016-06-30
100014,volusia,fl,17424,18758,20077,2013-07-01,2016-06-30
040076,hot spring,ar,14212,15482,16749,2013-07-01,2016-06-30
050116,los angeles,ca,16446,17722,19016,2013-07-01,2016-06-30
050492,fresno,ca,15782,17022,18320,2013-07-01,2016-06-30
180116,graves,ky,16377,17419,18395,2013-07-01,2016-06-30
440056,jefferson,tn,16069,17333,18637,2013-07-01,2016-06-30
420049,horry,sc,14414,15276,16099,2013-07-01,2016-06-30
370040,le flore,ok,14521,15820,17157,2013-07-01,2016-06-30
520011,barron,wi,13319,14792,16456,2013-07-01,2016-06-30
370158,mcclain,ok,12246,13445,14673,2013-07-01,2016-06-30
360081,lucas,oh,14875,16066,17422,2013-07-01,2016-06-30
380002,josephine,or,14323,15182,16018,2013-07-01,2016-06-30
150069,jefferson,in,17672,18380,19116,2013-04-01,2016-03-31
200034,androscoggin,me,21497,22487,23514,2013-04-01,2016-03-31
100292,walton,fl,14692,16092,17814,2013-07-01,2016-06-30
150104,boone,in,13529,15063,16778,2013-07-01,2016-06-30
050169,los angeles,ca,19863,21397,23111,2013-07-01,2016-06-30
330261,westchester,ny,21344,23899,26887,2013-07-01,2016-06-30
030055,mohave,az,14495,15500,16606,2013-07-01,2016-06-30
010062,geneva,al,12348,13832,15696,2013-07-01,2016-06-30
451377,reeves,tx,12283,14399,16884,2013-07-01,2016-06-30
251323,scott,ms,13355,15909,18545,2013-07-01,2016-06-30
440067,hamblen,tn,19028,21843,25135,2013-07-01,2016-06-30
360151,stark,oh,15804,17478,19242,2013-07-01,2016-06-30
030065,maricopa,az,17991,18926,19836,2013-07-01,2016-06-30
050025,san diego,ca,16455,17490,18496,2013-07-01,2016-06-30
041312,cleburne,ar,15816,17708,19753,2013-07-01,2016-06-30
